clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Bank Leumi Le-Israel Bm,"Israel, Israel","UN_Report, afsc.org-Divestment","Banking services, One of Israel's largest banks. It is deeply involved in the expansion of Israel's illegal settlements in the occupied Palestinian and Syrian territories","Banking and financial operations helping to develop, expand or maintain settlements and their activities, Occupations","Banking, Banking","Finance & Insurance, Finance & Insurance"
Bank Of Jerusalem,"Israel, Israel","afsc.org-Divestment, UN_Report","An Israeli bank that is deeply involved in the expansion of Israel's illegal settlements in the occupied West Bank, Banking services","Occupations, Banking and financial operations helping to develop, expand or maintain settlements and their activities","Banking, Banking","Finance & Insurance, Finance & Insurance"
Bank Otsar Hahayal,Israel,whoprofits.org,"A commercial bank.

The bank provides loans and financial services to local and regional authorities of settlements and to Israe",Services to the Settlements,Finance,Finance & Insurance
Bank Otsar Ha-Hayal,Israel,UN_Report,Banking services,"Banking and financial operations helping to develop, expand or maintain settlements and their activities",Banking,Finance & Insurance
Bankinvest,Denmark,boycott-israel.org,Bankinvest has financial links to Israel's occupation of the Palestinian territories. They make loans and guarantees available to companies with activities on occupied land or invest money in them.,Financial links to occupation,Banking,Finance & Insurance
Barad Earth Development & Road Works,Israel,whoprofits.org,Barad Earth Development &amp; Road Works Ltd. is a private Israeli construction company. It is involved in construction projects o,"Israeli Construction on Occupied Land, The Wall and Checkpoints",Construction,Manufacturing & Industrial
Baran Group,Israel,whoprofits.org,"Baran Group is a publicly-traded Israeli civil engineering, technology, telecommunication and construction solution provider with ","Israeli Construction on Occupied Land, Services to the Settlements",Construction,Manufacturing & Industrial
Barclays,"UK, United Kingdom, United Kingdom","bdsmovement.net, DBIO_creditor_report, DBIO_investor_report","Barclays finances companies whose weapons are used against Palestinians., British multinational investment bank and financial services company, British multinational banking and financial services company","Financial Support, Loans and underwriting services, Shareholding","Financial Services, Financial Services, Financial Services",Finance & Insurance
Barclays Plc,United Kingdom,ethicalconsumer.org,A global financial services provider.,Invests over £1billion in arms companies supplying Israel with weapons and military technology.,Ethical Bank Accounts,Finance & Insurance
Bardarian Brothers,Israel,whoprofits.org,"A private Israeli construction and infrastructure company.

The company was one of the selected contractors that won the Israeli","Israeli Construction on Occupied Land, The Wall and Checkpoints",Construction,Manufacturing & Industrial
Bayernlb,Germany,DBIO_creditor_report,German publicly regulated bank,Loans,Financial Services,Finance & Insurance
Bazelet Hagolan Winery,Occupied Syrian Golan,whoprofits.org,"An Israeli winery based in the settlement of Kidmat Zvi in the occupied Syrian Golan.

The winery, vineyards and visitor center ",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Beit Alpha Technologies (Bat),Israel,whoprofits.org,"A private Israeli manufacturer of Special Purpose vehicles and systems.

In 2003, the company won a tender to provide vehicles t",Specialized Equipment and Services,"Heavy Machinery, Industrial Manufacturing, Military, Security and Surveillance",Manufacturing & Industrial
Beit Haarchiv,Israel,UN_Report,Archiving services,Use of natural resources,Services,Services & Miscellaneous
Ben Security,Israel,whoprofits.org,"A private Israeli provider of technological and physical security services.

The company provides security services to settlemen","Private Security and Surveillance Technology, Services to the Settlements","Military, Security and Surveillance",Defense & Security
Benny & Tzvika,Israel,whoprofits.org,"A private Israeli demolition contractor specializing in demolition works and recycling of construction waste.

The company carri",Specialized Equipment and Services,"Construction, Heavy Machinery, Waste Management",Manufacturing & Industrial
Beresheet,Occupied Syrian Golan,whoprofits.org,"Grower and marketer of deciduous fruit. Beresheet was established with the merger of two packing houses: Perot Hagolan, from the o","Services to the Settlements, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Beton Atarot (Formerly: Elad Imported Cement),Occupied Palestinian Territory,whoprofits.org,"A privately- owned cement factory.

The company is located in Mishor Adumim I.Z., the industrial zone of Maale Adumim settlement",Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
Bezeq - The Israeli Telemmunication Rporation,Israel,whoprofits.org,"A major Israeli telecommunications service provider. Bezeq and its subsidiaries provide domestic, international and cellular phone","Israeli Construction on Occupied Land, Palestinian Captive Market, Services to the Settlements, The Wall and Checkpoints",Communication,Technology & Hi-tech
Bezeq The Israeli Telemmunication Rp,"Israel, Israel, Israel","DBIO_Listed_Business, afsc.org-Divestment, UN_Report","Publicly listed Israeli telecommunication company, Israel's largest telecommunications provider. It has infrastructure throughout the occupied West Bank and Golan Heights and provides telecommunication services to illegal Israeli settlements, military bases, and checkpoints, Telecommunications services","Shareholdings, Occupations, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Telecommunications, Telecommunications, Telecommunications",Technology & Hi-tech
B-Flexion,United Kingdom,DBIO_investor_report,British investment firm,"Bondholding, Shareholding",Investment,Finance & Insurance
Bickel Group,Israel,whoprofits.org,"Marketer and exporter of organoc and non-organic agricultural produce and flowers.

The Bickel Group comprises of Bickel Flowers","Exploitation of Occupied Production and Resources, Services to the Settlements, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Binyamina Winery,Israel,whoprofits.org,"A large private Israeli winery that produces, markets and exports wines.

The winery sources some of its grapes from vineyards i",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Binyanei Bar Amana Nstruction And Development,Occupied Palestinian Territory,whoprofits.org,"The company is a subsidiary of the settlement movement Amana which is involved in
construction in settlements and outposts.

Th",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Bladeworx,Israel,whoprofits.org,An aeronautics company specialized in UAV aerial photography.&nbsp;The company has a commercial license from&nbsp;the Israeli Civi,Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Bluebird Aero Systems,Israel,whoprofits.org,"A private Israeli company that specializes in design, development and production of Micro, Mini and tactical Unmanned Aerial Syste",Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
